what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306345802893
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306345841962
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1306345845344
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1306345848586
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306345855109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306345876361
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306345876866
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306346064806
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306346190625
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306346191508
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306346263621
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306346265591
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306346266911
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306351601243
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306351601282
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306351602609
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306351603539
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1306351603686
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1306351603840
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1306351603998
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1306351604020
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1306570617822
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1306570617823
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1306570617824
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1306570617829
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1306570617850
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1306570617853
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1306570617874
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1306570617883
